Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-12-04 18:15:26,2023-12-04 18:17:28,"2m - 1,294s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-12-04 18:15:27,2023-12-04 18:16:56,"1m - 28,800s",PASSED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-12-04 18:15:29,2023-12-04 18:15:29,"0,503s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-12-04 18:15:29,2023-12-04 18:16:01,"31,955s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-12-04 18:16:01,2023-12-04 18:16:54,"52,457s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-12-04 18:16:54,2023-12-04 18:16:54,"0,001s",PASSED
Video,Chrome 119.0.0.0,,,2023-12-04 18:16:56,2023-12-04 18:16:56,"0,001s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Visiteur,Chrome 119.0.0.0,,,2023-12-04 18:16:57,2023-12-04 18:17:28,"30,769s",FAILED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-12-04 18:16:59,2023-12-04 18:16:59,"0,010s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-12-04 18:16:59,2023-12-04 18:17:26,"26,048s",FAILED
Video,Chrome 119.0.0.0,,,2023-12-04 18:17:28,2023-12-04 18:17:28,"0,001s",PASSED
