Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TNR_R.TSPT_Suppo90,Chrome 119.0.0.0,,,2023-12-04 16:35:29,2023-12-04 16:38:39,"3m - 9,713s",FAILED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Etudiant,Chrome 119.0.0.0,,,2023-12-04 16:35:30,2023-12-04 16:36:49,"1m - 19,431s",FAILED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-12-04 16:35:31,2023-12-04 16:35:32,"0,610s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-12-04 16:35:32,2023-12-04 16:36:04,"32,533s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Creer Votre Compte""), [""NumEtrangerVisa"":NumEtrangerVisa, ""DateDebut"":DateDebut, ""DateFin"":DateFin, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour Créer un Compte Usager,,2023-12-04 16:36:04,2023-12-04 16:36:45,"40,282s",FAILED
Video,Chrome 119.0.0.0,,,2023-12-04 16:36:49,2023-12-04 16:36:49,"0,005s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/Usager Etudiant/TNR R.TSPT Supp90-Visiteur,Chrome 119.0.0.0,,,2023-12-04 16:36:49,2023-12-04 16:38:39,"1m - 49,300s",FAILED
com.kazurayam.ksbackyard.HighlightElement.pandemic(),Chrome 119.0.0.0,,,2023-12-04 16:36:50,2023-12-04 16:36:50,"0,015s",PASSED
"callTestCase(findTestCase(""Test Reutilisable/Main/Lancer URL ANEF""), [""Profiles"":""Usager"", ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 119.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Usager ou Agent,,2023-12-04 16:36:50,2023-12-04 16:37:14,"23,293s",PASSED
if (StopTestCase == false),Chrome 119.0.0.0,,,2023-12-04 16:37:14,2023-12-04 16:38:36,"1m - 22,287s",FAILED
Video,Chrome 119.0.0.0,,,2023-12-04 16:38:39,2023-12-04 16:38:39,"0,001s",PASSED
